"Your Kindle Notes For:",,,
"AMPED (VINTAGE CONTEMPORARIES)",,,
"by Daniel H. Wilson",,,
"Free Kindle instant preview:",,,
"https://a.co/1gUvk0X",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 220","","Level five. Full sensory networking. Long horizon mission planning. Command and control. Enhanced mobility and survivability. Do you consent? Do you consent? Begging me to go whole hog. Real power is in the connections between things, Lyle said. The pieces are in place but it’s up to me to turn them on. Give the go-ahead to let the retinal talk to the neural. Cochlear talk to retinal. The world opens up to you in ways you can’t imagine."
"Highlight (Yellow)","Page 237","","One arm hooked over a trash can, Perry roots for stale bread and continues his monologue. “Lucky, we are. Yes, sir. Lucky to live in this cutting-edge era of progress. When men can aspire not only to be well and healthy, but to be better than well. Better than healthy. If you ponder it, Owen, why, it’s clear that you and me are technological marvels of the modern age!”"
"Highlight (Yellow)","Page 245","","I take a deep breath and do what Lyle taught me to do. Focus on my goal up front."
"Highlight (Yellow)","Page 249","","“I used the Zenith. All of it.” Lucy puts a hand over her mouth. Nick leans forward, eyes bright. “What’s it like?” he asks. “Like … being a ghost. Watching somebody else’s life. Seeing events unfold precisely according to a plan that nobody told you.” “Like destiny,” muses Nick. Destiny. I think about how it feels to fall down inside my own head. The potential outcomes of my actions laid out in colored stripes on the ground. Dance steps painted in invisible ink. Could I choose to do something else? I realize I haven’t tried."
"Highlight (Yellow)","Page 255","","Is this really you, Owen? Am I a killer? I don’t know. It occurs to me that my body operates almost entirely without listening to my opinion—balancing, daydreaming, and healing itself, not to mention breathing and digesting food and a million other little things. I’m not sure how much control I really have anymore. How much control did I ever have?"
"Highlight (Yellow)","Page 267","","I gave you something extra, Owen. Level six. Freedom from suffering. Full executive extinguished. A conduit to your soul. Thought to action. I love you, son. I trust you. Do good. Do you consent? Do you consent? He left this message for me. All this time. My father. Do you consent? I consider it for a fragment of a second. Yes. The Zenith awakes."
"Highlight (Yellow)","Page 272","","We’re all of us on islands. That’s what Nick says. According to the chattering kid, everybody, whether they’re an amp or a reggie, is on one kind of island or another. Millions of islands, millions of sharks. But billions of bridges. It’s the connections between the things that are important, he says. More important than the things themselves. Nick has a new backpack and that same old faded Rubik’s cube."
"Highlight (Yellow)","Page 273","","I open the door for Nick and his friends. Follow them in. Inside, thirty-five pairs of eyes stare up at me. Thirty-five nodules on temples, some decorated with glitter and neon lights and others just left alone. The kids sit on government-supplied folding chairs around three mismatched tables. There are no recognizable grade levels. The difficulty of the material has to do with your implant and your natural intelligence. Age is immaterial for these amps."
"Highlight (Yellow)","Page 274","","“Okay, class,” I say. “Today, we’re going to study government. There aren’t enough books, so those of you with modded retinal implants should scan the pages and then share with your neighbor.” Humankind needs technology. It’s the one thing that we do better than any other animal. We communicate, cooperate, and make tools to extend our reach. Every new tool changes us. As we grow, sometimes parents find they can’t recognize their children. The old fears the new, and the two threaten to destroy each other. Our technology is what makes us strong. And it’s what makes us dangerous."
"Highlight (Yellow)","Page 274","","I’ve heard it said that technology makes a good person better, and it makes a bad person worse."
"Highlight (Yellow)","Page 274","","we keep building new versions of ourselves, keep exploring the unknown, and keep growing. We’re gonna be fine. Different, but fine. Because most people are good. Right?"
